genName,BusId,pmax,pmin,init_output,init_state_time,MinOnTime,MinOffTime,ColdStartTime,ramp_up,ramp_down,startup_times,hot_start,cold_start,min_cost,segments,segment1,segment2,segment3,segment4,segment5,segment6,segment7,segment8,segment9,segment10,segment11,cost1,cost2,cost3,cost4,cost5,cost6,cost7,cost8,cost9,cost10,zone,Pstart,Pshut
14,1663,1346.776835,396.1972762,0,-96,22,22,44,942.74,942.74,-,51623.24,121214.79,10326.0825341106,4,396.1972762,633.8421658,871.4870555,1109.131945,1346.776835,,,,,,,151.1245217,200.1896264,250.6542578,302.9158931,,,,,,,-,942.74,942.74
15,1662,1328.478111,340.3566371,0,-96,22,22,44,929.93,929.93,-,51649.22,121403.6,9318.94981895555,4,340.3566371,587.3870055,834.417374,1081.447742,1328.478111,,,,,,,142.2450857,192.5449918,244.1309436,297.0370904,,,,,,,-,929.93,929.93
16,1822,1322.328673,315.0437021,1322.328673,96,22,22,44,925.63,925.63,-,41151.06,102090.74,7427.05764341116,4,315.0437021,566.8649447,818.6861873,1070.50743,1322.328673,,,,,,,120.6876038,167.9517772,216.4169133,267.6061902,,,,,,,-,925.63,925.63
17,1823,1311.319905,334.7514353,1311.319905,96,22,22,44,917.92,917.92,-,41251.26,104489.3,7403.60429405392,4,334.7514353,578.8935528,823.0356703,1067.177788,1311.319905,,,,,,,117.1498381,161.2200036,206.6255529,254.6005184,,,,,,,-,917.92,917.92
18,1726,1303.803017,296.8524196,1303.803017,96,22,22,44,912.66,912.66,-,40334.22,101912.78,8022.28163811748,4,296.8524196,548.5900689,800.3277182,1052.065367,1303.803017,,,,,,,129.2259498,179.2860271,230.5181933,282.9955778,,,,,,,-,912.66,912.66
19,1641,1303.345669,327.9225955,1303.345669,96,22,22,44,912.34,912.34,-,40205.01,102143.99,7988.23225549501,4,327.9225955,571.7783638,815.6341321,1059.4899,1303.345669,,,,,,,122.813101,166.6560315,211.5156952,257.4678723,,,,,,,-,912.34,912.34
20,1725,1301.474908,302.1071904,1301.474908,96,22,22,44,911.03,911.03,-,41078.35,100849.04,7650.40759282046,4,302.1071904,551.9491197,801.7910491,1051.632978,1301.474908,,,,,,,121.8606321,168.0889914,215.2955705,263.6384097,,,,,,,-,911.03,911.03
21,1642,1295.13969,345.6931492,1295.13969,96,22,22,44,906.6,906.6,-,39690.64,96266.05,8484.7321218902,4,345.6931492,583.0547843,820.4164194,1057.778054,1295.13969,,,,,,,128.4688261,172.866383,218.2330214,264.8839037,,,,,,,-,906.6,906.6
22,1789,1284.97257,360.7948666,1284.97257,96,22,22,44,899.48,899.48,-,46273.31,109349.13,9255.65266904964,4,360.7948666,591.8392924,822.8837183,1053.928144,1284.97257,,,,,,,135.7768826,179.9381429,225.1298435,271.4653546,,,,,,,-,899.48,899.48
23,1694,993.9459784,463.5964617,993.9459784,96,20,20,40,695.76,695.76,-,26618.48,74357.59,10009.1410108383,4,463.5964617,596.1838409,728.7712201,861.3585993,993.9459784,,,,,,,126.5301268,154.2939316,184.3350007,217.185995,,,,,,,-,695.76,695.76
24,1692,987.9265325,446.8165943,987.9265325,96,20,20,40,691.55,691.55,-,25520.31,67108.63,9743.94092797772,4,446.8165943,582.0940789,717.3715634,852.649048,987.9265325,,,,,,,124.0969603,152.0722018,182.3431988,215.5867771,,,,,,,-,691.55,691.55
25,1693,983.4543401,442.8277843,0,-96,20,20,40,688.42,688.42,-,23210.86,57751.24,9718.6760894777,4,442.8277843,577.9844232,713.1410622,848.2977012,983.4543401,,,,,,,125.1542486,153.9221413,184.2067181,216.8209627,,,,,,,-,688.42,688.42
26,1845,979.8411473,369.2558217,0,-96,20,20,40,685.89,685.89,-,27581.9,80847.62,9278.54580737237,4,369.2558217,521.9021531,674.5484845,827.1948159,979.8411473,,,,,,,121.7126303,152.7229518,187.2143804,225.8254473,,,,,,,-,685.89,685.89
27,1622,971.9105521,304.4237129,0,-96,20,20,40,680.34,680.34,-,20634.42,60818.87,8378.28938587224,4,304.4237129,471.2954227,638.1671325,805.0388423,971.9105521,,,,,,,121.4185648,160.6839303,203.0355657,269.2799283,,,,,,,-,680.34,680.34
28,1843,970.5704912,378.036659,0,-96,20,20,40,679.4,679.4,-,24734.17,60652.16,9388.33075676587,4,378.036659,526.1701171,674.3035751,822.4370332,970.5704912,,,,,,,122.9970765,153.6413122,186.9847958,224.2439166,,,,,,,-,679.4,679.4
29,1846,966.6767469,477.2113011,966.6767469,96,20,20,40,676.67,676.67,-,26790.89,66162.26,10257.8835835854,4,477.2113011,599.5776625,721.944024,844.3103855,966.6767469,,,,,,,127.3996626,153.3437007,181.1667072,211.2873621,,,,,,,-,676.67,676.67
30,1621,962.4499033,370.6547756,0,-96,20,20,40,673.71,673.71,-,24105.62,68416.52,9378.74472972872,4,370.6547756,518.6035575,666.5523395,814.5011214,962.4499033,,,,,,,122.755236,153.1180744,186.0714401,222.7649858,,,,,,,-,673.71,673.71
31,1844,960.5616977,405.4174098,0,-96,20,20,40,672.39,672.39,-,23019.98,50034.4,9513.88244874765,4,405.4174098,544.2034818,682.9895538,821.7756257,960.5616977,,,,,,,122.1446488,150.3325485,180.9337926,215.9852569,,,,,,,-,672.39,672.39
32,1776,946.5075244,423.9544368,0,-96,20,20,40,662.56,662.56,-,17692.25,42171.9,9109.62765957977,4,423.9544368,554.5927087,685.2309806,815.8692525,946.5075244,,,,,,,125.1376955,160.5174447,199.222001,289.5960481,,,,,,,-,662.56,662.56
33,1732,944.9893469,347.1941547,0,-96,20,20,40,661.49,661.49,-,20572.02,55227.33,8355.07606377341,4,347.1941547,496.6429527,646.0917508,795.5405488,944.9893469,,,,,,,117.4543851,153.1591215,192.4664991,262.6202791,,,,,,,-,661.49,661.49
34,1670,944.3458692,358.0303576,0,-96,20,20,40,661.04,661.04,-,18874.56,50353.34,8277.79945726699,4,358.0303576,504.6092355,651.1881134,797.7669913,944.3458692,,,,,,,114.6082886,147.6061511,183.5957919,250.2904876,,,,,,,-,661.04,661.04
35,1707,941.4528999,369.9729023,0,-96,20,20,40,659.02,659.02,-,19796.44,53685.93,8806.01938414661,4,369.9729023,512.8429017,655.7129011,798.5829005,941.4528999,,,,,,,120.192155,153.4938121,189.5797891,257.5835226,,,,,,,-,659.02,659.02
36,1832,939.8508423,299.7021596,0,-96,20,20,40,657.9,657.9,-,15924.62,41598.12,7679.25012049479,4,299.7021596,459.7393303,619.776501,779.8136717,939.8508423,,,,,,,110.3201632,144.9759774,183.3211501,266.8290307,,,,,,,-,657.9,657.9
37,1669,939.172231,339.9749823,0,-96,20,20,40,657.42,657.42,-,19632.09,52439.14,8086.28666719555,4,339.9749823,489.7742945,639.5736066,789.3729188,939.172231,,,,,,,112.1119359,144.6169964,180.3874532,248.9152586,,,,,,,-,657.42,657.42
38,1623,936.6416021,283.9204324,0,-96,20,20,40,655.65,655.65,-,14202.1,38660.09,7780.73704104547,4,283.9204324,447.1007248,610.2810172,773.4613096,936.6416021,,,,,,,115.0347111,153.4942018,196.0688599,300.6541348,,,,,,,-,655.65,655.65
39,1730,935.6919912,279.02117,0,-96,20,20,40,654.98,654.98,-,18410.11,54376.34,7730.82734178277,4,279.02117,443.1888753,607.3565806,771.5242859,935.6919912,,,,,,,111.9447864,148.070885,188.2630608,273.7477226,,,,,,,-,654.98,654.98
40,1638,934.590158,434.3926723,0,-96,20,20,40,654.21,654.21,-,22013.18,48379.63,9703.91941671167,4,434.3926723,559.4420437,684.4914152,809.5407866,934.590158,,,,,,,121.5918987,147.2712987,175.1336986,206.8184094,,,,,,,-,654.21,654.21
41,1831,934.4034969,353.7584491,0,-96,20,20,40,654.08,654.08,-,20517.96,54454.28,8060.11592700443,4,353.7584491,498.9197111,644.080973,789.242235,934.4034969,,,,,,,110.4260604,141.3333697,174.6953354,224.2625521,,,,,,,-,654.08,654.08
42,1728,933.7974528,389.1206517,0,-96,20,20,40,653.66,653.66,-,17166.95,36116.6,8312.23839666391,4,389.1206517,525.289852,661.4590522,797.6282525,933.7974528,,,,,,,113.874855,146.2548352,183.2550696,281.1742371,,,,,,,-,653.66,653.66
43,1620,932.4109739,349.2280962,0,-96,20,20,40,652.69,652.69,-,19846.51,55212.39,8487.57369433611,4,349.2280962,495.0238156,640.8195351,786.6152545,932.4109739,,,,,,,117.2523346,150.7888876,186.8986528,248.0035354,,,,,,,-,652.69,652.69
44,1731,931.6392449,352.7892906,0,-96,20,20,40,652.15,652.15,-,18326.35,46504.89,8122.9059283238,4,352.7892906,497.5017791,642.2142677,786.9267563,931.6392449,,,,,,,114.1530959,148.2380274,185.2823361,259.069678,,,,,,,-,652.15,652.15
45,1729,930.3451995,385.0138433,0,-96,20,20,40,651.24,651.24,-,23720.09,56334.11,9774.86230589569,4,385.0138433,521.3466824,657.6795214,794.0123605,930.3451995,,,,,,,126.6933052,156.5792891,188.1501856,222.4408873,,,,,,,-,651.24,651.24
46,1775,929.8970167,309.9000047,0,-96,20,20,40,650.93,650.93,-,17042.27,43647.17,7580.66975341019,4,309.9000047,464.8992577,619.8985107,774.8977637,929.8970167,,,,,,,109.9372431,145.6427096,185.6857313,277.9483798,,,,,,,-,650.93,650.93
47,1733,929.5538111,313.9141028,0,-96,20,20,40,650.69,650.69,-,16124.41,38598.73,7545.54179875728,4,313.9141028,467.8240299,621.7339569,775.643884,929.5538111,,,,,,,108.657347,143.106641,181.4300718,269.44384,,,,,,,-,650.69,650.69
48,1706,926.6099814,304.5405751,0,-96,20,20,40,648.63,648.63,-,16189.46,43182.83,8057.57705314624,4,304.5405751,460.0579267,615.5752783,771.0926298,926.6099814,,,,,,,118.7041771,158.3227298,201.7668539,301.6029657,,,,,,,-,648.63,648.63
49,1637,925.6917278,419.6139953,0,-96,20,20,40,647.98,647.98,-,23433.67,68497.96,9412.71847493466,4,419.6139953,546.1334284,672.6528615,799.1722946,925.6917278,,,,,,,119.9016006,146.6377717,175.0695909,205.4951297,,,,,,,-,647.98,647.98
50,1639,918.4293534,383.8955415,0,-96,20,20,40,642.9,642.9,-,23526.84,70268.97,9429.27742104253,4,383.8955415,517.5289944,651.1624474,784.7959004,918.4293534,,,,,,,121.5275149,149.9200361,180.3100197,213.1217408,,,,,,,-,642.9,642.9
51,1695,912.8145332,456.4138392,0,-96,20,20,40,638.97,638.97,-,22993.16,51533.12,10276.5618804156,4,456.4138392,570.5140127,684.6141862,798.7143597,912.8145332,,,,,,,126.2699766,150.5782977,176.4141191,204.8377554,,,,,,,-,638.97,638.97
52,1640,912.4740904,350.8382579,0,-96,20,20,40,638.73,638.73,-,22839.28,57112.36,9664.04016698627,4,350.8382579,491.247216,631.6561742,772.0651323,912.4740904,,,,,,,126.3960745,157.21768,189.8756767,225.2840379,,,,,,,-,638.73,638.73
53,1705,908.2673123,358.3882269,0,-96,20,20,40,635.79,635.79,-,20170.73,43285.9,8061.57231096648,4,358.3882269,495.8579983,633.3277696,770.797541,908.2673123,,,,,,,112.402472,145.1565202,180.9579685,260.6351855,,,,,,,-,635.79,635.79
54,1668,907.0789637,320.7189095,0,-96,20,20,40,634.96,634.96,-,18162.41,45142.5,7465.05959004876,4,320.7189095,467.308923,613.8989366,760.4889501,907.0789637,,,,,,,104.3967642,134.9922249,167.809348,216.677334,,,,,,,-,634.96,634.96
55,1704,903.2911514,362.6399517,0,-96,20,20,40,632.3,632.3,-,17110.07,37788.35,7911.08731083017,4,362.6399517,497.8027516,632.9655515,768.1283514,903.2911514,,,,,,,108.2708424,138.3369982,171.5069272,245.9893023,,,,,,,-,632.3,632.3
56,1610,700,179.8139546,0,-96,20,20,40,490,490,-,16889.4,28512.11,5053.72688135064,4,179.8139546,309.8604659,439.9069773,569.9534886,700,,,,,,,80.01620024,111.3067426,144.3448822,191.3276714,,,,,,,-,490,490
57,1685,700,240.1231765,0,-96,20,20,40,490,490,-,45210.47,77520.83,8711.61434655348,4,240.1231765,355.0923824,470.0615882,585.0307941,700,,,,,,,118.6984615,151.9737375,186.8961889,230.6215733,,,,,,,-,490,490
58,1682,684.4657071,209.9442663,0,-96,20,20,40,479.13,479.13,-,29094.53,63533.38,7986.32278057273,4,209.9442663,328.5746265,447.2049867,565.8353469,684.4657071,,,,,,,111.3629166,145.5095433,181.7830901,229.9047052,,,,,,,-,479.13,479.13
59,1609,670,240.4438107,0,-96,20,20,40,469,469,-,43101.14,72836.03,8107.08132721714,4,240.4438107,347.832858,455.2219053,562.6109527,670,,,,,,,110.5356857,141.5993232,175.7224234,236.5602566,,,,,,,-,469,469
60,1683,610,310.6396166,0,-96,20,20,40,427,427,-,42740.42,64781.29,9873.41937672679,4,310.6396166,385.4797125,460.3198083,535.1599042,610,,,,,,,119.2482571,141.0051752,165.2457415,190.8782572,,,,,,,-,427,427
61,1684,610,310.8263512,0,-96,20,20,40,427,427,-,36087.33,58928.88,9577.8083115378,4,310.8263512,385.6197634,460.4131756,535.2065878,610,,,,,,,115.6202499,136.7495809,160.7115411,187.0986256,,,,,,,-,427,427
62,1799,605,295.7968904,0,-96,20,20,40,423.5,423.5,-,38174.69,58363.13,8553.07251043374,4,295.7968904,373.0976678,450.3984452,527.6992226,605,,,,,,,105.2056929,126.0007454,149.6339593,174.8664722,,,,,,,-,423.5,423.5
63,1795,597.7497834,196.1539187,0,-96,18,18,36,418.42,418.42,-,22903.2,50648.68,7539.19195757947,4,196.1539187,296.5528849,396.9518511,497.3508173,597.7497834,,,,,,,105.7538652,136.9148255,169.1018649,203.6101298,,,,,,,-,418.42,418.42
64,1825,595,225,0,-96,18,18,36,416.5,416.5,-,28265.04,57752.42,8437.46738516268,4,225,317.5,410,502.5,595,,,,,,,112.0453275,140.6560321,170.4403174,203.6939106,,,,,,,-,416.5,416.5
65,1745,585,251.8699142,0,-96,18,18,36,409.5,409.5,-,35916.58,73532.67,7576.05757254894,4,251.8699142,335.1524356,418.4349571,501.7174785,585,,,,,,,96.96146258,120.3676644,149.5674994,179.8259897,,,,,,,-,409.5,409.5
66,1746,585,261.9311519,0,-96,18,18,36,409.5,409.5,-,36111.75,70719.66,8335.07204131243,4,261.9311519,342.6983639,423.4655759,504.232788,585,,,,,,,106.0872594,132.3660702,168.5252474,207.3079511,,,,,,,-,409.5,409.5
67,1796,584.7359114,199.9838323,0,-96,18,18,36,409.32,409.32,-,20131.3,43087.49,7264.56588868923,4,199.9838323,296.1718521,392.3598719,488.5478916,584.7359114,,,,,,,101.6358879,131.4243443,164.1651778,200.0415157,,,,,,,-,409.32,409.32
68,1793,584.6826662,223.6309881,0,-96,18,18,36,409.28,409.28,-,13583.08,30417.82,7190.09346033487,4,223.6309881,313.8939076,404.1568272,494.4197467,584.6826662,,,,,,,97.8525023,124.5010325,155.974297,193.4767469,,,,,,,-,409.28,409.28
69,1794,584.6641324,186.7372102,0,-96,18,18,36,409.26,409.26,-,16890.76,37987.76,7036.84193418415,4,186.7372102,286.2189407,385.7006713,485.1824018,584.6641324,,,,,,,100.7274319,131.8120092,164.2350228,197.8875501,,,,,,,-,409.26,409.26
70,1727,457.9758322,148.2883955,0,-96,16,16,32,320.58,320.58,-,5529.31,8755.57,2850.3526143688,4,148.2883955,225.7102547,303.1321139,380.553973,457.9758322,,,,,,,125.2866084,240.5698225,364.5573517,500.517234,,,,,,,-,320.58,320.58
71,1743,456.6030327,218.8997659,0,-96,16,16,32,319.62,319.62,-,23255.74,60140.45,6390.93454589585,4,218.8997659,278.3255826,337.7513993,397.177216,456.6030327,,,,,,,77.06659466,90.60568707,104.5933468,119.0744424,,,,,,,-,319.62,319.62
72,1697,451,243.9668448,0,-96,16,16,32,315.7,315.7,-,24332.91,66334.41,8470.10133184933,4,243.9668448,295.7251336,347.4834224,399.2417112,451,,,,,,,98.40230526,112.5683439,127.9501917,143.9070451,,,,,,,-,315.7,315.7
73,1826,442.4496444,132.258855,0,-96,16,16,32,309.71,309.71,-,22646.49,56684.73,5689.50305299118,4,132.258855,209.8065523,287.3542497,364.9019471,442.4496444,,,,,,,85.42992078,114.6451242,145.9376381,178.3904998,,,,,,,-,309.71,309.71
74,1827,441.7848879,138.1036108,0,-96,16,16,32,309.25,309.25,-,12246.86,29601.71,5899.02623368769,4,138.1036108,214.0239301,289.9442493,365.8645686,441.7848879,,,,,,,82.96451147,107.5900457,137.220711,168.1459012,,,,,,,-,309.25,309.25
75,1801,435.695496,237.9828821,0,-96,16,16,32,304.99,304.99,-,27669.54,74010.57,8288.28371119351,4,237.9828821,287.4110355,336.839189,386.2673425,435.695496,,,,,,,94.94963488,107.2044932,119.7629497,132.7033875,,,,,,,-,304.99,304.99
76,1699,432.1000446,274.170076,0,-96,16,16,32,302.47,302.47,-,18982.64,48309.12,9769.4127054447,4,274.170076,313.6525682,353.1350603,392.6175524,432.1000446,,,,,,,109.0310237,122.2714044,141.46006,161.1464798,,,,,,,-,302.47,302.47
77,1768,413.7417356,217.576,0,-96,16,16,32,289.62,289.62,-,18158.48,45633.11,9082.3174825231,4,217.576,266.6174339,315.6588678,364.7003017,413.7417356,,,,,,,105.3085771,119.9724972,134.9409478,150.6015194,,,,,,,-,289.62,289.62
78,1780,310.5005808,175.6372638,0,-96,12,12,24,217.35,217.35,-,24742.19,50319.32,7315.92818731409,4,175.6372638,209.353093,243.0689223,276.7847515,310.5005808,,,,,,,83.48547088,94.27959251,106.4106891,120.2791313,,,,,,,-,217.35,217.35
79,1627,301.1604622,138.371501,0,-96,12,12,24,210.81,210.81,-,10951.88,26869.36,3650.07083568762,4,138.371501,179.0687413,219.7659816,260.4632219,301.1604622,,,,,,,46.08985251,56.15209776,67.41590894,80.28496308,,,,,,,-,210.81,210.81
80,1781,298.5393409,179.5224914,0,-96,12,12,24,208.98,208.98,-,24872.78,42214.98,5562.60600788166,4,179.5224914,209.2767038,239.0309162,268.7851285,298.5393409,,,,,,,62.32972182,69.50225034,79.28788617,91.01601388,,,,,,,-,208.98,208.98
81,1824,284.1389058,173.9805097,0,-96,12,12,24,198.9,198.9,-,29615.94,47620.29,4409.2684695653,4,173.9805097,201.5201088,229.0597078,256.5993068,284.1389058,,,,,,,50.12964718,56.47642514,65.7425736,76.1174484,,,,,,,-,198.9,198.9
82,1851,267.957993,144.4200679,0,-96,12,12,24,187.57,187.57,-,34034.8,57162.4,4029.84557311102,4,144.4200679,175.3045492,206.1890305,237.0735117,267.957993,,,,,,,46.98718813,54.18515944,65.04107641,78.01401903,,,,,,,-,187.57,187.57
83,1850,267.4415822,149.6938486,0,-96,12,12,24,187.21,187.21,-,36385.56,59539.25,4023.2058440827,4,149.6938486,179.130782,208.5677154,238.0046488,267.4415822,,,,,,,46.80391411,53.84594901,62.38965451,72.88131431,,,,,,,-,187.21,187.21
84,1634,259.5106222,154.4921864,0,-96,12,12,24,181.66,181.66,-,27035.93,49879.8,5081.22236443131,4,154.4921864,180.7467954,207.0014043,233.2560133,259.5106222,,,,,,,57.45755051,64.35628416,73.95823465,83.99677176,,,,,,,-,181.66,181.66
85,1744,258.1740218,152.6215386,0,-96,12,12,24,180.72,180.72,-,39793.28,68350.6,4540.89379316732,4,152.6215386,179.0096594,205.3977802,231.785901,258.1740218,,,,,,,51.87123113,58.50646399,66.54671107,74.84840635,,,,,,,-,180.72,180.72
86,1624,250.6031212,172.7635767,0,-96,12,12,24,175.42,175.42,-,28323.43,49523.28,4644.06836345648,4,172.7635767,192.2234628,211.6833489,231.143235,250.6031212,,,,,,,50.68274487,55.151762,61.80118938,69.67568671,,,,,,,-,175.42,175.42
87,1626,249.4752848,155.3799726,0,-96,12,12,24,174.63,174.63,-,17839.29,33125.38,3985.76344539843,4,155.3799726,178.9038006,202.4276287,225.9514567,249.4752848,,,,,,,44.6331946,49.75932827,58.54182557,69.38012216,,,,,,,-,174.63,174.63
88,1625,248.8417795,160.3313086,0,-96,12,12,24,174.19,174.19,-,35610.32,58661.44,4309.74943228933,4,160.3313086,182.4589263,204.5865441,226.7141618,248.8417795,,,,,,,47.56484787,52.32323156,59.77794507,68.89872884,,,,,,,-,174.19,174.19
89,1702,246.2952763,68.95918904,0,-96,12,12,24,172.41,172.41,-,7782.16,17078.48,2493.95234260078,4,68.95918904,113.2932109,157.6272327,201.9612545,246.2952763,,,,,,,37.07224128,49.95939193,63.36349037,77.21262379,,,,,,,-,172.41,172.41
90,1765,245.539996,166.2502526,0,-96,12,12,24,171.88,171.88,-,33021.32,58190.88,5519.83212322872,4,166.2502526,186.0726884,205.8951243,225.7175601,245.539996,,,,,,,60.046979,65.09018741,73.45411886,82.26707852,,,,,,,-,171.88,171.88
91,1766,244.3076699,170.9208875,0,-96,12,12,24,171.02,171.02,-,26622.46,45617.39,5634.78865909189,4,170.9208875,189.2675831,207.6142787,225.9609743,244.3076699,,,,,,,61.10581111,66.15747345,74.54664036,83.51412303,,,,,,,-,171.02,171.02
92,1798,241.7601022,108.7169096,0,-96,12,12,24,169.23,169.23,-,12204.99,24023.08,3593.95893400967,4,108.7169096,141.9777077,175.2385059,208.4993041,241.7601022,,,,,,,45.2081753,54.9065407,65.01437327,79.81061836,,,,,,,-,169.23,169.23
93,1666,236.924251,65.27660161,0,-96,12,12,24,165.85,165.85,-,7379.96,15833.2,2247.51394883028,4,65.27660161,108.1885139,151.1004263,194.0123386,236.924251,,,,,,,33.39471193,44.99810255,57.06846207,69.51836423,,,,,,,-,165.85,165.85
94,1703,236.4226857,67.27701309,0,-96,12,12,24,165.5,165.5,-,7587.16,15551.2,2540.31431267761,4,67.27701309,109.5634312,151.8498494,194.1362676,236.4226857,,,,,,,36.78809124,48.93373762,61.60609769,74.71455915,,,,,,,-,165.5,165.5
95,1667,232.7176375,83.40625891,0,-96,12,12,24,162.9,162.9,-,8593.83,16430.57,3080.10270018037,4,83.40625891,120.7341035,158.0619482,195.3897928,232.7176375,,,,,,,41.30368912,52.46278488,64.07728515,76.09869308,,,,,,,-,162.9,162.9
96,1734,228.2179359,158.4681215,0,-96,12,12,24,159.75,159.75,-,13500.51,20035.69,6656.699846,4,158.4681215,175.9055751,193.3430287,210.7804823,228.2179359,,,,,,,72.65767969,78.76442262,84.90507391,96.61384731,,,,,,,-,159.75,159.75
97,1772,226.1306831,64.41638316,0,-96,12,12,24,158.29,158.29,-,7212.31,15052.51,2488.24214106132,4,64.41638316,104.8449581,145.2735331,185.7021081,226.1306831,,,,,,,36.70144017,49.09863175,61.96661122,75.20754448,,,,,,,-,158.29,158.29
98,1773,225.7067826,63.6203942,0,-96,12,12,24,157.99,157.99,-,7458.48,15898.68,2520.28355553462,4,63.6203942,104.1419913,144.6635884,185.1851855,225.7067826,,,,,,,36.34659467,48.03675456,60.26529771,72.92263039,,,,,,,-,157.99,157.99
99,1771,225.5170806,65.27203517,0,-96,12,12,24,157.86,157.86,-,7918.85,16937.19,2651.1173948479,4,65.27203517,105.3332965,145.3945579,185.4558192,225.5170806,,,,,,,38.10773061,50.30501003,62.99834542,76.130163,,,,,,,-,157.86,157.86
100,1774,225.3280847,46.90886622,0,-96,12,12,24,157.73,157.73,-,5294.99,13134.51,1405.62696274782,4,46.90886622,91.51367084,136.1184755,180.7232801,225.3280847,,,,,,,26.06799211,38.87254605,52.13912078,65.74600757,,,,,,,-,157.73,157.73
101,1757,224.1860391,148.097843,0,-96,12,12,24,156.93,156.93,-,9524.69,13464.32,6429.3164311458,4,148.097843,167.119892,186.141941,205.1639901,224.1860391,,,,,,,70.35468868,76.42954314,82.53227521,95.39600474,,,,,,,-,156.93,156.93
102,1811,178.9422095,51.97792179,0,-96,10,10,20,125.26,125.26,-,3023.67,6797.08,1957.61385279441,4,51.97792179,83.71899372,115.4600657,147.2011376,178.9422095,,,,,,,29.74814918,40.14959428,51.33564508,64.16802186,,,,,,,-,125.26,125.26
103,1848,177.9685753,102.2856018,0,-96,10,10,20,124.58,124.58,-,8031.95,16692.14,4045.44747459786,4,102.2856018,121.2063452,140.1270885,159.0478319,177.9685753,,,,,,,45.93278349,51.69209577,57.96849386,64.45569217,,,,,,,-,124.58,124.58
