line,BusFrom,BusTo,X,Pmin,Pmax,ratio,IsBuildPlineLimit
184,542,85,0.01486,-1717,1717,1,NO
185,542,85,0.0139,-1711,1711,1,NO
186,509,86,0.02029,-420,420,1,NO
187,854,86,0.01603,-440,440,1,NO
188,1277,87,0.00138,-378,378,1,NO
189,1329,87,0.01264,-440,440,1,NO
190,1329,87,0.0125,-502,502,1,NO
191,276,88,0.02449,0,0,1,NO
192,459,88,0.08396,0,0,1,NO
193,712,88,0.05849,0,0,1,NO
194,1313,88,0.02813,0,0,1,NO
195,1415,89,0.00401,-471,471,1,NO
196,370,90,0.0324,0,0,1,NO
197,1471,90,0.02578,0,0,1,NO
198,917,92,0.00665,-2487,2487,1,NO
199,933,92,0.00834,-2487,2487,1,NO
200,1043,91,0.0157,-2487,2487,1,NO
201,1087,92,0.01062,-2487,2487,1,NO
202,1261,91,0.01945,-2487,2487,1,NO
203,1324,91,0.00398,-2487,2487,1,NO
204,918,91,0.00664,-2487,2487,1,NO
205,933,91,0.00834,-2487,2487,1,NO
206,1043,92,0.01557,-2487,2487,1,NO
207,1087,91,0.01062,-2487,2487,1,NO
208,1260,92,0.01947,-2487,2487,1,NO
209,1324,92,0.00398,-2487,2487,1,NO
210,920,91,0.0066,-2487,2487,1,NO
211,919,92,0.00659,-2487,2487,1,NO
212,1125,93,0.01205,-439,439,1,NO
213,145,94,0.02327,-575,575,1,NO
214,666,95,0.10554,0,0,1,NO
215,685,95,0.06712,0,0,1,NO
216,686,96,0.04085,-398,398,1,NO
217,1213,97,0.0002,0,0,1,NO
218,605,98,0.0128,-357,357,1,NO
219,223,101,0.0002,0,0,1,NO
220,938,101,0.00099,-288,288,1,NO
221,224,102,0.0002,-386,386,1,NO
222,532,103,0.01649,-434,434,1,NO
223,617,103,0.00356,-370,370,1,NO
224,755,103,0.02368,-507,507,1,NO
225,1040,103,0.01811,-383,383,1,NO
226,616,103,0.00356,-370,370,1,NO
227,938,104,0.00093,-331,331,1,NO
228,119,105,0.00994,-307,307,1,NO
229,856,105,0.02892,-389,389,1,NO
230,1103,105,0.02469,-584,584,1,NO
231,1145,105,0.03253,-344,344,1,NO
232,1386,105,0.037,-428,428,1,NO
233,1418,105,0.0099,-428,428,1,NO
234,543,106,0.02924,-2040,2040,1,NO
235,584,106,0.01491,-1579,1579,1,NO
236,759,106,0.02815,-1487,1487,1,NO
237,1104,106,0.00946,-1382,1382,1,NO
238,585,106,0.01617,-1579,1579,1,NO
239,759,106,0.02816,-1487,1487,1,NO
240,1197,106,0.01607,-2040,2040,1,NO
241,840,107,0.00231,0,0,1,NO
242,141,108,0.00091,-405,405,1,NO
243,219,109,0.01569,-413,413,1,NO
244,764,109,0.04476,-413,413,1,NO
245,755,110,0.02173,-831,831,1,NO
246,1515,110,0.01721,-935,935,1,NO
247,291,111,0.00136,-331,331,1,NO
248,365,111,0.00142,-339,339,1,NO
249,1325,112,0.01195,-432,432,1,NO
250,1417,112,0.00533,-432,432,1,NO
251,387,113,0.01002,-540,540,1,NO
252,406,113,0.02115,-540,540,1,NO
253,1319,113,0.01076,-540,540,1,NO
254,1496,113,0.0172,-540,540,1,NO
255,129,113,0.00144,-545,545,1,NO
256,1319,113,0.01073,-535,535,1,NO
257,128,113,0.00109,-545,545,1,NO
258,638,114,0.00945,-2487,2487,1,NO
259,756,114,0.03536,-1579,1579,1,NO
260,1345,114,0.00805,-2487,2487,1,NO
261,638,114,0.00938,-2487,2487,1,NO
262,1346,114,0.00806,-2487,2487,1,NO
263,130,114,0.00037,-921,921,1,NO
264,973,115,0.06955,-391,391,1,NO
265,1012,115,0.07036,-412,412,1,NO
266,831,117,0.01047,-461,461,1,NO
267,1002,117,0.01017,-482,482,1,NO
268,1279,118,0.00657,-1633,1633,1,NO
269,1279,118,0.00657,-1633,1633,1,NO
270,611,120,0.01533,-288,288,1,NO
271,699,121,0.02923,0,0,1,NO
272,1469,121,0.01285,0,0,1,NO
273,1419,122,0.0001,-473,473,1,NO
274,153,123,0.0002,-288,288,1,NO
275,154,127,0.00014,-1382,1382,1,NO
276,154,124,0.00016,-1382,1382,1,NO
277,154,125,0.00017,-1737,1737,1,NO
278,154,126,0.00018,-1382,1382,1,NO
279,831,132,0.00218,-405,405,1,NO
280,825,133,0.01425,-2389,2389,1,NO
281,873,133,0.00649,-2487,2487,1,NO
282,898,133,0.00015,-2487,2487,1,NO
283,824,133,0.01462,-2487,2487,1,NO
284,874,133,0.00649,-2487,2487,1,NO
285,899,133,0.0001,-2487,2487,1,NO
286,388,134,0.00964,-399,399,1,NO
287,401,134,0.00842,-502,502,1,NO
288,794,134,0.01219,-292,292,1,NO
289,795,134,0.00706,-433,433,1,NO
290,1222,134,0.01671,-433,433,1,NO
291,1468,134,0.01493,-384,384,1,NO
292,388,134,0.00966,-399,399,1,NO
293,260,135,0.00547,-1429,1429,1,NO
294,806,135,0.00474,-1711,1711,1,NO
295,370,136,0.00371,-482,482,1,NO
296,408,136,0.02015,-369,369,1,NO
297,1258,137,0.03488,-369,369,1,NO
298,1291,136,0.00429,-482,482,1,NO
299,370,136,0.00371,-482,482,1,NO
300,969,136,0.00535,0,0,1,NO
301,1291,137,0.00454,-482,482,1,NO
302,902,138,0.02787,-485,485,1,NO
303,1314,138,0.02218,-471,471,1,NO
304,1314,138,0.02218,-541,541,1,NO
305,388,139,0.00081,-434,434,1,NO
306,388,140,0.00099,-271,271,1,NO
307,798,141,0.02242,-471,471,1,NO
308,1506,141,0.02293,-540,540,1,NO
309,812,142,0.00968,-296,296,1,NO
310,812,143,0.00958,-296,296,1,NO
311,508,144,0.00138,0,0,1,NO
312,1085,145,0.0113,-575,575,1,NO
313,408,146,0.02264,-384,384,1,NO
314,855,146,0.01566,-384,384,1,NO
315,171,147,0.00154,0,0,1,NO
316,347,149,0.03427,-935,935,1,NO
317,487,150,0.02378,-369,369,1,NO
318,901,150,0.01883,-519,519,1,NO
319,1008,150,0.0431,-482,482,1,NO
320,1219,150,0.01102,-519,519,1,NO
321,149,148,9E-05,-935,935,1,NO
322,966,151,0.00163,-2450,2450,1,NO
323,429,152,0.01774,0,0,1,NO
324,615,152,0.00242,-575,575,1,NO
325,428,152,0.01774,0,0,1,NO
326,615,152,0.00266,-575,575,1,NO
327,841,154,0.00826,-1579,1579,1,NO
328,962,154,0.00999,-2368,2368,1,NO
329,383,154,0.00645,-2368,2368,1,NO
330,961,154,0.00999,-2368,2368,1,NO
331,383,154,0.00677,-2368,2368,1,NO
332,383,154,0.00677,-2368,2368,1,NO
333,963,155,0.00461,-380,380,1,NO
334,930,156,0.01293,-428,428,1,NO
335,1329,156,0.03089,-428,428,1,NO
336,160,159,0.00198,-337,337,1,NO
337,160,157,0.00198,-335,335,1,NO
338,160,158,0.00198,-335,335,1,NO
339,768,160,0.02396,-535,535,1,NO
340,990,160,0.01711,-471,471,1,NO
341,1435,160,0.04145,-515,515,1,NO
342,1482,161,0.0002,0,0,1,NO
343,645,162,0.00551,-325,325,1,NO
344,562,164,0.06507,-328,328,1,NO
345,812,164,0.01648,-325,325,1,NO
346,989,164,0.05657,-328,328,1,NO
347,1442,164,0.01616,-328,328,1,NO
348,1446,164,0.01491,-305,305,1,NO
349,1524,164,0.03465,-328,328,1,NO
350,812,164,0.01626,-418,418,1,NO
351,275,164,0.01547,-309,309,1,NO
352,759,165,0.04947,-1188,1188,1,NO
353,1102,165,0.01482,-1171,1171,1,NO
354,742,166,0.01482,0,0,1,NO
355,1421,167,0.00324,0,0,1,NO
356,1420,169,0.0002,0,0,1,NO
357,1422,168,0.0003,0,0,1,NO
358,1397,170,0.00624,-441,441,1,NO
359,941,171,0.01094,-296,296,1,NO
360,752,172,0.00176,-507,507,1,NO
361,1062,172,0.01112,-408,408,1,NO
362,1223,176,0.00017,0,0,1,NO
363,1224,175,0.00019,0,0,1,NO
364,1223,173,0.0002,0,0,1,NO
365,1224,174,0.0002,0,0,1,NO
366,1013,177,0.035,-487,487,1,NO
367,470,178,0.00931,-340,340,1,NO
368,746,178,0.02183,-325,325,1,NO
369,1423,179,0.0001,-394,394,1,NO
370,543,180,0.00013,-1842,1842,1,NO
371,543,181,0.0001,-1842,1842,1,NO
372,1253,182,0.00057,-268,268,1,NO
373,660,184,0.00389,-414,414,1,NO
374,660,183,0.00389,-414,414,1,NO
375,1425,187,0.0128,-292,292,1,NO
376,1434,188,0.0158,-558,558,1,NO
377,486,189,0.02452,-404,404,1,NO
378,574,189,0.04326,-558,558,1,NO
379,1161,189,0.05398,-558,558,1,NO
380,1460,189,0.03026,-485,485,1,NO
381,1219,190,0.00498,0,0,1,NO
382,261,191,0.01683,-306,306,1,NO
383,1192,191,0.00994,0,0,1,NO
384,1306,191,0.0397,-274,274,1,NO
385,221,192,0.05389,-311,311,1,NO
386,691,192,0.02372,-540,540,1,NO
387,732,192,0.04142,-362,362,1,NO
388,1154,192,0.01701,-413,413,1,NO
389,1512,192,0.02673,-413,413,1,NO
390,692,192,0.01825,-604,604,1,NO
391,692,192,0.01752,-935,935,1,NO
392,439,193,9E-05,0,0,1,NO
393,1133,193,0.00464,-461,461,1,NO
394,470,194,0.01106,-363,363,1,NO
395,746,194,0.00946,-363,363,1,NO
396,713,196,0.00913,-482,482,1,NO
397,1307,196,0.01082,-470,470,1,NO
398,713,196,0.00942,-482,482,1,NO
399,1307,196,0.01096,-470,470,1,NO
400,118,197,0.0108,-1355,1355,1,NO
401,118,197,0.0108,-1355,1355,1,NO
402,1006,198,0.00069,0,0,1,NO
403,1081,198,0.0013,0,0,1,NO
404,200,199,0.0002,-471,471,1,NO
405,1167,200,0.02489,-327,327,1,NO
406,432,201,0.01355,-449,449,1,NO
407,1033,201,0.05645,-362,362,1,NO
408,1051,201,0.00391,-304,304,1,NO
409,1052,201,0.00391,-304,304,1,NO
410,1521,201,0.00671,-541,541,1,NO
411,1424,202,0.00409,-507,507,1,NO
412,472,203,0.0026,-342,342,1,NO
413,186,205,0.02139,-292,292,1,NO
414,209,205,0.00731,-292,292,1,NO
415,245,205,0.0046,-430,430,1,NO
416,556,205,0.01148,-333,333,1,NO
417,1316,205,0.01138,-333,333,1,NO
418,1429,205,0.00233,-333,333,1,NO
419,1437,205,0.01908,-423,423,1,NO
420,533,205,0.02904,-423,423,1,NO
421,1425,205,0.00976,-292,292,1,NO
422,260,206,0.01587,-1711,1711,1,NO
423,350,206,0.01286,-1611,1611,1,NO
424,257,207,0.00012,-552,552,1,NO
425,548,207,0.00769,-1355,1355,1,NO
426,1425,208,0.00328,-292,292,1,NO
427,416,211,0.00192,-541,541,1,NO
428,416,210,0.00194,-541,541,1,NO
429,1036,212,0.0012,-257,257,1,NO
430,440,213,0.00745,-322,322,1,NO
431,1031,213,0.00596,-575,575,1,NO
432,472,214,0.00354,-541,541,1,NO
433,1426,215,0.00119,-482,482,1,NO
434,603,216,0.0064,0,0,1,NO
435,1011,217,0.00211,-546,546,1,NO
436,343,218,0.02938,-1579,1579,1,NO
437,770,218,0.02074,-1987,1987,1,NO
438,764,219,0.06022,-413,413,1,NO
439,832,219,0.06673,-736,736,1,NO
440,876,219,0.03048,-420,420,1,NO
441,876,219,0.02904,-389,389,1,NO
442,1126,220,0.0176,-1932,1932,1,NO
443,1126,220,0.01741,-1932,1932,1,NO
444,1013,221,0.02418,-566,566,1,NO
445,722,222,0.01215,-1708,1708,1,NO
446,775,222,0.014,-1917,1917,1,NO
447,893,224,0.00152,-335,335,1,NO
448,925,224,0.00051,-272,272,1,NO
449,1151,225,0.0062,-440,440,1,NO
450,1151,226,0.0062,-507,507,1,NO
451,1428,227,0.0002,-471,471,1,NO
452,1427,228,0.0002,-540,540,1,NO
453,569,229,0.00723,-335,335,1,NO
454,827,230,0.02234,-540,540,1,NO
455,996,229,0.02094,-335,335,1,NO
456,1259,229,0.00897,-935,935,1,NO
457,1529,230,0.02282,-300,300,1,NO
458,1259,230,0.00842,-935,935,1,NO
459,621,231,0.00142,0,0,1,NO
460,834,232,0.00109,0,0,1,NO
461,1156,232,0.00067,0,0,1,NO
462,380,234,0.00716,0,0,1,NO
463,1345,235,0.00487,-2487,2487,1,NO
464,1345,236,0.00489,-2487,2487,1,NO
465,1346,237,0.00481,-2487,2487,1,NO
466,1346,238,0.00484,-2487,2487,1,NO
467,980,239,0.00138,0,0,1,NO
468,1141,239,0.00108,-403,403,1,NO
469,656,243,0.06615,-336,336,1,NO
470,686,242,0.00996,-336,336,1,NO
471,686,242,0.00922,-422,422,1,NO
472,686,243,0.00934,-422,422,1,NO
473,765,244,0.02022,-2487,2487,1,NO
474,1330,244,0.02218,-2487,2487,1,NO
475,765,244,0.02017,-2487,2487,1,NO
476,1330,244,0.02217,-2487,2487,1,NO
477,874,246,0.02217,-1397,1397,1,NO
478,932,246,0.00112,-1486,1486,1,NO
479,955,253,0.02114,-460,460,1,NO
480,974,253,0.00369,-540,540,1,NO
481,1464,251,0.00569,-720,720,1,NO
482,1476,253,0.0045,-437,437,1,NO
483,1477,253,0.0045,-524,524,1,NO
484,1463,251,0.00569,-720,720,1,NO
485,1451,252,0.00844,-935,935,1,NO
486,1452,252,0.00855,-935,935,1,NO
487,799,255,0.00709,-1579,1579,1,NO
488,1261,255,0.00638,-1579,1579,1,NO
489,799,254,0.00712,-1579,1579,1,NO
490,1260,254,0.00641,-1579,1579,1,NO
491,1338,256,0.01385,-540,540,1,NO
492,1338,256,0.01385,-540,540,1,NO
493,289,258,0.00565,-558,558,1,NO
494,342,258,0.01489,-558,558,1,NO
495,1429,259,0.03149,-333,333,1,NO
496,350,260,0.02883,-1611,1611,1,NO
497,356,260,0.02423,-1567,1567,1,NO
498,612,260,0.01418,-2487,2487,1,NO
499,806,260,0.00289,-1308,1308,1,NO
500,991,260,0.00989,-1711,1711,1,NO
501,1224,260,0.00395,-1579,1579,1,NO
502,356,260,0.01912,-1567,1567,1,NO
503,612,260,0.01418,-2487,2487,1,NO
504,806,260,0.00255,-1579,1579,1,NO
505,991,260,0.00989,-1711,1711,1,NO
506,1223,260,0.00395,-1579,1579,1,NO
507,1223,260,0.004,-1579,1579,1,NO
508,1224,260,0.004,-1711,1711,1,NO
509,411,261,0.02086,-406,406,1,NO
510,411,261,0.022,-406,406,1,NO
511,411,261,0.0208,-492,492,1,NO
512,1331,263,0.00505,-1380,1380,1,NO
513,1331,262,0.00504,-1380,1380,1,NO
514,493,265,0.01088,-321,321,1,NO
515,1157,265,0.01827,-302,302,1,NO
516,358,266,0.05044,-325,325,1,NO
517,591,266,0.01393,-604,604,1,NO
518,591,266,0.01393,-604,604,1,NO
519,427,267,0.01733,-1579,1579,1,NO
520,689,267,0.00404,-2487,2487,1,NO
521,1022,267,0.0105,-2487,2487,1,NO
522,1370,267,0.01425,-1579,1579,1,NO
523,689,267,0.00404,-2487,2487,1,NO
524,1022,267,0.0105,-2487,2487,1,NO
525,1059,268,0.01288,-535,535,1,NO
526,1217,269,0.00111,-471,471,1,NO
527,313,270,0.00085,-428,428,1,NO
528,336,270,0.00069,-311,311,1,NO
529,1347,270,0.0013,-404,404,1,NO
530,1357,270,0.00061,-387,387,1,NO
531,1312,272,0.00711,-298,298,1,NO
532,584,273,0.01287,-1611,1611,1,NO
533,991,273,0.01002,-2487,2487,1,NO
534,1224,273,0.01203,-1711,1711,1,NO
535,449,273,0.00673,-2487,2487,1,NO
536,585,273,0.01287,-1611,1611,1,NO
537,1223,273,0.01203,-1711,1711,1,NO
538,1442,274,0.00032,-328,328,1,NO
539,1096,276,0.00884,0,0,1,NO
540,1509,278,0.00067,-257,257,1,NO
541,1508,277,0.00069,-257,257,1,NO
542,546,279,0.03182,-289,289,1,NO
543,391,281,0.0002,0,0,1,NO
544,391,280,0.0002,0,0,1,NO
545,1146,282,0.02169,-452,452,1,NO
546,399,284,0.01642,-354,354,1,NO
547,879,284,0.02835,-356,356,1,NO
548,928,284,0.00883,0,0,1,NO
549,1091,284,0.0366,-369,369,1,NO
550,1390,284,0.00589,0,0,1,NO
551,399,284,0.01572,-428,428,1,NO
552,1389,284,0.00575,0,0,1,NO
553,399,284,0.01576,-440,440,1,NO
554,1047,284,0.00233,-356,356,1,NO
555,845,284,0.0012,-307,307,1,NO
556,844,284,0.00119,-307,307,1,NO
557,288,285,0.00021,-1828,1828,1,NO
558,303,285,0.01414,-1191,1191,1,NO
559,1048,287,0.00086,-1204,1204,1,NO
560,1239,286,0.0213,-1566,1566,1,NO
561,1359,287,0.01687,-1659,1659,1,NO
562,1430,286,0.00019,-1828,1828,1,NO
563,288,286,0.00021,-1828,1828,1,NO
564,303,285,0.01412,-1191,1191,1,NO
565,825,287,0.01095,-1711,1711,1,NO
566,874,287,0.01735,-1828,1828,1,NO
567,1239,287,0.01848,-1842,1842,1,NO
568,1239,287,0.01832,-1842,1842,1,NO
569,342,289,0.02001,-524,524,1,NO
570,793,289,0.04079,-558,558,1,NO
571,1038,289,0.03055,-558,558,1,NO
572,1337,289,0.00966,-355,355,1,NO
573,1443,289,0.01322,-400,400,1,NO
574,1470,289,0.02515,-391,391,1,NO
575,545,290,0.00541,-2487,2487,1,NO
576,693,290,0.01387,-1828,1828,1,NO
577,1398,290,0.02188,-1917,1917,1,NO
578,545,290,0.00544,-2487,2487,1,NO
579,693,290,0.01383,-1828,1828,1,NO
580,1398,290,0.02188,-1917,1917,1,NO
581,337,291,0.00294,0,0,1,NO
582,365,291,0.00085,-331,331,1,NO
583,878,291,0.00275,0,0,1,NO
584,1106,291,0.00233,-272,272,1,NO
585,1365,291,0.0096,-335,335,1,NO
586,1393,292,0.0061,-323,323,1,NO
587,364,292,0.00085,-268,268,1,NO
588,1107,292,0.00255,-272,272,1,NO
589,1365,291,0.00956,-335,335,1,NO
590,1365,291,0.00879,-833,833,1,NO
591,1484,291,0.0051,-935,935,1,NO
592,612,293,0.00262,-921,921,1,NO
593,426,297,0.05244,-401,401,1,NO
594,777,297,0.02056,-558,558,1,NO
595,1038,297,0.02524,-558,558,1,NO
596,1395,297,0.0322,-357,357,1,NO
597,426,297,0.07176,-372,372,1,NO
598,722,298,0.00701,-2487,2487,1,NO
599,722,299,0.00643,-2487,2487,1,NO
600,784,300,0.01728,-507,507,1,NO
601,784,300,0.01857,-388,388,1,NO
602,717,302,0.00534,-440,440,1,NO
603,741,302,0.01708,-471,471,1,NO
604,717,302,0.00505,-440,440,1,NO
605,539,303,0.00972,-2487,2487,1,NO
606,1366,303,0.00471,-1774,1774,1,NO
607,539,303,0.00971,-2487,2487,1,NO
608,1366,303,0.00476,-1774,1774,1,NO
609,1366,303,0.00504,-1397,1397,1,NO
610,840,304,0.02986,-439,439,1,NO
611,1315,306,0.00021,-2487,2487,1,NO
612,1315,305,0.00024,-2487,2487,1,NO
613,507,307,0.01515,-472,472,1,NO
614,653,307,0.00533,-473,473,1,NO
615,608,308,0.00498,-575,575,1,NO
616,750,308,0.01169,-558,558,1,NO
617,608,308,0.00435,-575,575,1,NO
618,418,309,0.00267,-374,374,1,NO
619,418,310,0.00268,-432,432,1,NO
620,982,311,0.01211,-1786,1786,1,NO
621,434,312,0.02325,-416,416,1,NO
622,599,312,0.04223,-415,415,1,NO
623,1431,314,9E-05,0,0,1,NO
624,352,315,0.01728,-471,471,1,NO
625,1409,315,0.03643,-379,379,1,NO
626,645,316,0.01446,-376,376,1,NO
627,1342,316,0.03083,-376,376,1,NO
628,691,317,0.02878,-370,370,1,NO
629,827,317,0.0176,-354,354,1,NO
630,1386,318,0.01476,0,0,1,NO
631,1011,319,0.04385,-391,391,1,NO
632,1171,319,0.02023,-391,391,1,NO
633,1025,320,0.00075,-426,426,1,NO
634,354,322,0.01807,-311,311,1,NO
635,810,322,0.01553,-253,253,1,NO
