BusNo,BusName,BaseVoltage
87,桂大化G1,15.7
88,桂大化G2,15.7
89,桂大化G3,15.7
90,桂大化G4,15.7
91,桂大化G5,15.7
92,桂百龙22,230
93,桂百龙21,230
94,桂百龙11,115
95,桂百龙D3,115
96,桂百龙G1,10.5
97,桂百龙G2,10.5
98,桂百龙G3,10.5
99,桂百龙G4,10.5
100,桂百龙G5,10.5
101,桂乐滩22,230
102,桂乐滩21,230
103,桂乐滩G1,15.7
104,桂乐滩G2,15.7
105,桂乐滩G3,15.7
106,桂乐滩G4,15.7
107,桂平班21,230
108,桂平班G1,15.7
109,桂西津21,230
110,桂西津22,230
111,桂西津23,230
112,桂西津11,115
113,桂西津12,115
114,桂西津D1,115
115,桂西津D2,115
116,桂西津G1,13.8
117,桂西津G2,13.8
118,桂西津G3,13.8
119,桂西津G4,13.8
120,桂右江21,230
121,桂右江22,230
122,桂右江23,230
123,桂右江1D,115
124,桂右江1B,115
125,桂右江D2,115
126,桂右江D4,115
127,桂右江G1,13.8
128,桂右江G2,13.8
129,桂右江G3,13.8
130,桂右江G4,13.8
131,桂长洲21,230
132,桂长洲22,230
133,桂长洲23,230
134,桂长洲24,230
135,桂长洲11,115
136,桂长洲D4,115
137,桂长洲G1,13.8
138,桂长洲G2,13.8
139,桂长洲G3,13.8
140,桂长洲G4,13.8
141,桂长洲G5,13.8
142,桂长洲G6,13.8
143,桂长洲G7,13.8
144,桂长洲G8,13.8
145,桂长洲G9,13.8
146,桂长洲GA,13.8
147,桂长洲GB,13.8
148,桂长洲GC,13.8
149,桂桥巩21,230
150,桂桥巩22,230
151,桂桥巩G1,10.5
152,桂桥巩G2,10.5
153,桂桥巩G3,10.5
154,桂桥巩G4,10.5
155,桂桥巩G5,10.5
156,桂桥巩G6,10.5
157,桂桥巩G7,10.5
158,桂桥巩G8,10.5
159,桂桥巩G9,10.5
160,桂浔州22,230
161,桂浔州G6,15.7
162,桂浔州G7,15.7
163,桂浔州G8,15.7
164,桂古顶22,230
165,桂古顶G1,10.5
166,桂古顶G3,10.5
167,桂古顶G4,10.5
168,桂红花22,230
169,桂红花21,230
170,桂红花G1,10.5
171,桂红花G2,10.5
172,桂红花G3,10.5
173,桂红花G4,10.5
174,桂红花G5,10.5
175,桂红花G6,10.5
176,桂拉浪11,115
177,桂拉浪Y1,35
178,桂拉浪D1,115
179,桂拉浪23,6.3
180,桂拉浪G1,6.3
181,桂拉浪G2,6.3
182,桂拉浪G3,6.3
183,桂拉浪G4,10.5
184,桂洛东11,115
185,桂洛东Y1,35
186,桂洛东Y2,35
187,桂洛东D1,115
188,桂洛东D2,115
189,桂洛东G1,10.5
190,桂洛东G2,10.5
191,桂洛东G3,10.5
192,桂叶茂11,115
193,桂叶茂A1,10.5
194,桂叶茂D2,115
195,桂叶茂Y2,35
196,桂叶茂G2,10.5
197,桂叶茂G3,10.5
198,桂麻石11,115
199,桂麻石12,115
200,桂麻石D1,115
201,桂麻石Y1,35
202,桂麻石G1,10.5
203,桂仙衣A1,10.5
204,桂仙衣D1,35
205,桂仙衣11,115
206,桂仙衣12,115
207,桂仙衣Y1,35
208,桂仙衣G1,10.5
209,桂仙衣G2,10.5
210,桂坵坪G1,0.69
211,桂坵坪22,230
212,桂坵坪Y1,38.5
213,桂迅风G1,0.69
214,桂迅风G2,0.69
215,桂迅风G3,0.69
216,桂迅风22,230
217,桂迅风Y1,38.5
218,桂迅风Y2,38.5
219,桂迅风Y3,38.5
220,桂登云G1,0.69
221,桂登云G2,0.69
222,桂登云22,230
223,桂登云Y1,38.5
224,桂登云Y2,38.5
225,桂俊风G1,0.69
226,桂俊风22,230
227,桂俊风Y1,38.5
228,桂肯兰G1,0.69
229,桂肯兰22,230
230,桂肯兰Y1,38.5
231,桂交连G1,0.69
232,桂交连22,230
233,桂交连Y1,38.5
234,桂古田22,230
235,桂古田G1,0.69
236,桂马家G1,0.69
237,桂马家22,230
238,桂马家Y1,38.5
239,桂沃岭G1,0.69
240,桂沃岭22,230
241,桂沃岭Y1,38.5
242,桂骄阳G1,37
243,桂骄阳22,230
244,桂碗窑G1,0.69
245,桂碗窑35,38.5
246,桂碗窑22,230
247,桂马王G1,0.69
248,桂马王35,38.5
249,桂马王22,230
250,桂泽丰G1,0.69
251,桂泽丰35,38.5
252,桂泽丰11,115
253,桂苏仅G1,0.69
254,桂苏仅35,38.5
255,桂苏仅11,115
256,桂天武G1,0.69
257,桂天武35,38.5
258,桂天武11,115
259,桂水锦G1,0.69
260,桂水锦35,38.5
261,桂水锦11,115
262,桂麒麟G1,0.69
263,桂麒麟35,38.5
264,桂麒麟11,115
265,桂霞义G1,0.69
266,桂霞义35,38.5
267,桂霞义11,115
268,桂暖阳G1,0.4
269,桂暖阳35,38.5
270,桂暖阳11,115
271,桂黄兴G1,0.69
272,桂黄兴35,38.5
273,桂黄兴11,115
274,桂英利G1,0.4
275,桂英利35,38.5
276,桂英利11,115
277,桂玉峰G1,0.4
278,桂玉峰35,38.5
279,桂玉峰11,115
280,桂明阳G1,0.4
281,桂明阳35,38.5
282,桂明阳11,115
283,桂梓坪G1,0.69
284,桂梓坪22,230
285,桂梓坪Y1,38.5
286,桂九元G1,0.69
287,桂九元35,38.5
288,桂九元11,115
289,桂布央G1,0.69
290,桂布央35,38.5
291,桂布央11,115
292,桂东起G1,0.69
293,桂东起35,38.5
294,桂东起11,115
295,桂黄花G1,0.69
296,桂黄花22,230
297,桂黄花Y1,38.5
298,桂六字G1,0.69
299,桂六字22,230
300,桂六字Y1,38.5
301,桂恭低G1,0.69
302,桂恭低35,38.5
303,桂恭低11,115
304,桂福家G1,0.69
305,桂福家35,38.5
306,桂福家11,115
307,桂月亮G1,0.69
308,桂月亮35,38.5
309,桂月亮11,115
310,桂洁源G1,0.69
311,桂洁源35,38.5
312,桂洁源11,115
313,桂蜜源G1,0.69
314,桂蜜源35,38.5
315,桂蜜源11,115
316,桂南山G1,0.69
317,桂南山35,38.5
318,桂南山11,115
319,桂金紫G1,0.69
320,桂金紫35,38.5
321,桂金紫11,115
322,桂兰田G1,0.69
323,桂兰田35,38.5
324,桂兰田11,115
325,桂百丈G1,0.69
326,桂百丈35,38.5
327,桂百丈11,115
328,桂宿邓G1,0.69
329,桂宿邓35,38.5
330,桂宿邓11,115
331,桂丰收G1,0.4
332,桂丰收35,38.5
333,桂丰收11,115
334,桂高帮G1,0.69
335,桂高帮35,38.5
336,桂高帮11,115
337,桂惠金G1,0.4
338,桂惠金35,38.5
339,桂惠金11,115
340,桂栏沙G1,0.4
341,桂栏沙35,38.5
342,桂栏沙11,115
343,桂民海G1,0.4
344,桂民海22,230
345,桂民海35,38.5
346,桂风门G1,0.69
347,桂风门35,38.5
348,桂风门22,230
349,桂大怀G1,0.69
350,桂大怀35,38.5
351,桂大怀11,115
352,桂宇阳G1,0.69
353,桂宇阳35,38.5
354,桂宇阳11,115
355,桂振国G1,0.4
356,桂振国35,38.5
357,桂振国11,115
358,桂横山G1,0.4
359,桂横山35,38.5
360,桂横山11,115
361,桂通威G1,0.4
362,桂通威35,38.5
363,桂通威11,115
364,桂云飞G1,0.69
365,桂云飞35,38.5
366,桂云飞22,230
367,桂凤屏G1,0.69
368,桂凤屏35,38.5
369,桂凤屏22,230
370,桂宏景G1,0.69
371,桂宏景35,38.5
372,桂宏景11,115
373,桂四方G1,0.69
374,桂四方35,38.5
375,桂四方11,115
376,桂祥甜G1,0.69
377,桂祥甜35,38.5
378,桂祥甜11,115
379,桂葵阳G1,0.69
380,桂葵阳35,38.5
381,桂葵阳11,115
382,桂杨村G1,0.69
383,桂杨村35,38.5
384,桂杨村11,115
385,桂隆润G1,0.69
386,桂隆润35,38.5
387,桂隆润11,115
388,桂六林G1,0.69
389,桂六林35,38.5
390,桂六林11,115
391,桂马子G1,0.69
392,桂马子35,38.5
393,桂马子11,115
394,桂天堂G1,0.69
395,桂天堂35,38.5
396,桂天堂11,115
397,桂大冲G1,0.69
398,桂大冲35,38.5
399,桂大冲11,115
400,桂大容G1,0.69
401,桂大容35,38.5
402,桂大容11,115
403,桂场安G1,0.4
404,桂场安35,38.5
405,桂场安22,230
406,桂曲樟G1,0.69
407,桂曲樟35,38.5
408,桂曲樟11,115
409,桂钓鱼G1,0.4
410,桂钓鱼35,38.5
411,桂钓鱼11,115
412,桂乌光G1,0.4
413,桂乌光35,38.5
414,桂乌光11,115
415,桂玉柴G1,0.4
416,桂玉柴35,38.5
417,桂玉柴22,230
418,桂白花G1,0.69
419,桂白花35,38.5
420,桂白花11,115
421,桂官城G1,0.69
422,桂官城35,38.5
423,桂官城11,115
424,桂镇龙G1,0.69
425,桂镇龙35,38.5
426,桂镇龙11,115
427,桂平天G1,0.69
428,桂平天35,38.5
429,桂平天11,115
430,桂木格G1,0.69
431,桂木格35,38.5
432,桂木格11,115
433,桂玉凤G1,0.69
434,桂玉凤35,38.5
435,桂玉凤11,115
436,桂浪平G1,0.69
437,桂浪平35,38.5
438,桂浪平11,115
439,桂逻沙G1,0.69
440,桂逻沙35,38.5
441,桂逻沙11,115
442,桂那吉G1,0.4
443,桂那吉35,38.5
444,桂那吉11,115
445,桂六堡G1,0.69
446,桂六堡35,38.5
447,桂六堡11,115
448,桂岭脚G1,0.69
449,桂岭脚35,38.5
450,桂岭脚11,115
451,桂蓝光G1,0.69
452,桂蓝光35,38.5
453,桂蓝光11,115
454,桂高栏G1,0.69
455,桂高栏35,38.5
456,桂高栏11,115
457,桂协汇G1,0.69
458,桂协汇35,38.5
459,桂协汇22,230
460,桂协汇G2,0.4
461,桂协汇G3,0.4
462,桂龟石G1,0.69
463,桂龟石35,38.5
464,桂龟石22,230
465,桂东岭G1,0.69
466,桂东岭35,38.5
467,桂东岭11,115
468,桂龙头G1,0.69
469,桂龙头35,38.5
470,桂龙头11,115
471,桂牛一G1,0.69
472,桂牛一35,38.5
473,桂牛一11,115
474,桂小湾G1,0.4
475,桂小湾35,38.5
476,桂小湾11,115
477,桂马王G2,0.69
478,桂晶创G1,0.4
479,桂晶创35,38.5
480,桂晶创11,115
481,桂坛勒G1,0.69
482,桂坛勒35,38.5
483,桂坛勒11,115
484,桂玉峰G2,0.4
485,桂振东G1,0.4
486,桂振东35,38.5
487,桂振东11,115
488,桂伊源G1,0.69
489,桂伊源22,230
490,桂伊源35,38.5
491,桂伊源G2,0.69
492,桂伊源G3,0.69
493,桂金峰G1,0.69
494,桂金峰22,230
495,桂金峰35,38.5
496,桂金峰G2,0.69
497,桂兰田G2,0.69
498,桂平鼓G1,0.69
499,桂平鼓35,38.5
500,桂平鼓11,115
501,桂灰场G1,0.4
502,桂灰场35,38.5
503,桂灰场11,115
504,桂灰场G2,0.4
505,桂大藤G1,0.4
506,桂大藤35,38.5
507,桂大藤11,115
508,桂岩光G1,0.4
509,桂岩光35,38.5
510,桂岩光50,525
511,桂北宋G1,0.4
512,桂北宋35,38.5
513,桂北宋11,115
514,桂滩营G1,0.69
515,桂滩营35,38.5
516,桂滩营21,230
517,桂金安G1,0.4
518,桂金安22,230
519,桂金安35,38.5
520,桂石井G1,0.69
521,桂石井22,230
522,桂石井35,38.5
523,桂龙门G1,0.69
524,桂龙门22,230
525,桂龙门35,38.5
526,桂定安G1,0.4
527,桂定安35,38.5
528,桂定安22,230
529,桂江城G1,0.4
530,桂江城35,38.5
531,桂江城11,115
532,桂逻西G1,0.69
533,桂逻西35,38.5
534,桂逻西11,115
535,桂田光G1,0.4
536,桂田光35,38.5
537,桂田光11,115
538,桂果化G1,0.4
539,桂果化35,38.5
540,桂果化11,115
541,桂六堡G2,0.69
542,桂大平G1,0.69
543,桂大平35,38.5
544,桂大平11,115
545,桂百色50,525
546,桂百色D1,525
547,桂百色D2,525
548,桂百色D3,525
549,桂百色22,230
550,桂百色21,230
551,桂百色Y1,35
552,桂百色Y2,35
553,桂百色Y3,35
554,桂崇左50,525
555,桂崇左22,230
556,桂崇左D1,230
557,桂崇左D2,230
558,桂崇左23,230
559,桂崇左Y1,36
560,桂崇左Y2,36
561,桂逢宜50,525
562,桂逢宜D1,525
563,桂逢宜D2,525
564,桂逢宜22,230
565,桂逢宜Y1,35
566,桂逢宜Y2,35
567,桂福成50,525
568,桂福成D2,525
569,桂福成D3,525
570,桂福成22,230
571,桂福成23,230
572,桂福成Y2,35
573,桂福成Y3,35
574,桂桂林52,525
575,桂桂林22,230
576,桂桂林D1,525
577,桂桂林D2,525
578,桂桂林Y1,35
579,桂桂林Y2,35
580,桂桂中51,525
581,桂桂中D2,525
582,桂桂中D3,525
583,桂桂中21,230
584,桂桂中22,230
585,桂桂中Y2,35
586,桂桂中Y3,35
587,桂海港50,525
588,桂海港D1,525
589,桂海港D2,525
590,桂海港D3,525
591,桂海港23,230
592,桂海港22,230
593,桂海港21,230
594,桂海港Y1,35
595,桂海港Y2,35
596,桂海港Y3,35
597,桂河池50,525
598,桂河池D1,525
599,桂河池D2,525
600,桂河池22,230
601,桂河池Y1,35
602,桂河池Y2,35
603,桂贺州50,525
604,桂贺州21,230
605,桂贺州22,230
606,桂贺州D1,230
607,桂贺州D2,230
608,桂贺州D3,230
609,桂贺州Y1,35
610,桂贺州Y2,35
611,桂贺州Y3,35
612,桂金陵50,525
613,桂金陵22,230
614,桂金陵D2,230
615,桂金陵D4,230
616,桂金陵Y2,35
617,桂金陵Y4,35
618,桂久隆50,525
619,桂久隆D1,525
620,桂久隆D2,525
621,桂久隆22,230
622,桂久隆Y1,35
623,桂久隆Y2,35
624,桂来宾50,525
625,桂来宾22,230
626,桂来宾D1,35
627,桂来宾Y1,35
628,桂柳东50,525
629,桂柳东22,230
630,桂柳东D1,230
631,桂柳东D2,230
632,桂柳东Y1,35
633,桂柳东Y2,35
634,桂柳州51,525
635,桂美林50,525
636,桂美林22,230
637,桂美林D1,230
638,桂美林Y1,35
639,桂南宁50,525
640,桂南宁D1,525
641,桂南宁D2,525
642,桂南宁D3,525
643,桂南宁21,230
644,桂南宁22,230
645,桂南宁Y1,35
646,桂南宁Y2,35
647,桂南宁Y3,35
648,桂平果50,525
649,桂平果22,230
650,桂平果D1,230
651,桂平果D2,230
652,桂平果Y1,35
653,桂平果Y2,35
654,桂如画50,525
655,桂如画21,230
656,桂如画22,230
657,桂如画23,230
658,桂如画D2,230
659,桂如画D3,230
660,桂如画Y2,35
661,桂如画Y3,35
662,桂沙塘50,525
663,桂沙塘22,230
664,桂沙塘D1,230
665,桂沙塘D2,230
666,桂沙塘D3,230
667,桂沙塘Y1,35
668,桂沙塘Y2,35
669,桂沙塘Y3,35
670,桂溯河50,525
671,桂溯河D1,525
672,桂溯河21,230
673,桂溯河22,230
674,桂溯河Y1,35
675,桂梧州50,525
676,桂梧州D1,525
677,桂梧州D2,525
678,桂梧州D3,525
679,桂梧州22,230
680,桂梧州Y1,35
681,桂梧州Y3,35
682,桂梧州Y2,35
683,桂武平50,525
684,桂武平22,230
685,桂武平21,230
686,桂武平D1,230
687,桂武平D3,230
688,桂武平Y1,36
689,桂武平Y3,36
690,桂邕州50,525
691,桂邕州D1,525
692,桂邕州22,230
693,桂邕州Y1,35
694,桂永安50,525
695,桂永安D1,525
696,桂永安D2,525
697,桂永安22,230
698,桂永安21,230
699,桂永安Y1,35
700,桂永安Y2,35
701,桂玉林50,525
702,桂玉林24,230
703,桂玉林23,230
704,桂玉林22,230
705,桂玉林21,230
706,桂玉林D1,230
707,桂玉林D2,230
708,桂玉林Y1,35
709,桂玉林Y2,35
710,桂安城22,230
711,桂安城21,230
712,桂安城11,115
713,桂安城D1,115
714,桂安城D3,115
715,桂安城Y1,35
716,桂安城Y3,35
717,桂碧竹22,230
718,桂碧竹11,115
719,桂碧竹D1,115
720,桂碧竹D2,115
721,桂碧竹A1,11
722,桂碧竹A2,11
723,桂淳州21,230
724,桂淳州22,230
725,桂淳州23,230
726,桂淳州11,115
727,桂淳州D1,115
728,桂淳州D2,115
729,桂淳州A1,10.5
730,桂淳州A2,10.5
731,桂定忠21,230
732,桂定忠22,230
733,桂定忠23,230
734,桂定忠11,115
735,桂定忠12,115
736,桂定忠D1,115
737,桂定忠D2,115
738,桂定忠Y1,35
739,桂定忠Y2,35
740,桂翰峰21,230
741,桂翰峰22,230
742,桂翰峰11,115
743,桂翰峰D2,115
744,桂翰峰D3,115
745,桂翰峰A2,10.5
746,桂翰峰A3,10.5
747,桂横县21,230
748,桂横县22,230
749,桂横县12,115
750,桂横县11,115
751,桂横县D1,115
752,桂横县D2,115
753,桂横县D3,115
754,桂横县Y1,35
755,桂横县Y2,35
756,桂横县Y3,35
757,桂科园22,230
758,桂科园21,230
759,桂科园11,115
760,桂科园D1,115
761,桂科园D2,115
762,桂科园A1,11
763,桂科园A2,11
764,桂琅东22,230
765,桂琅东21,230
766,桂琅东11,115
767,桂琅东D1,115
768,桂琅东D2,115
769,桂琅东D3,115
770,桂琅东A1,11
771,桂琅东A2,11
772,桂琅东A3,11
773,桂雷村21,230
774,桂雷村22,230
775,桂雷村11,115
776,桂雷村D1,115
777,桂雷村D2,115
778,桂雷村A1,11
779,桂雷村A2,11
780,桂良庆22,230
781,桂良庆21,230
782,桂良庆11,115
783,桂良庆D1,115
784,桂良庆D2,115
785,桂良庆A1,11
786,桂良庆A2,11
787,桂林村21,230
788,桂林村22,230
789,桂林村11,115
790,桂林村D1,115
791,桂林村D2,115
792,桂林村D3,115
793,桂林村A1,11
794,桂林村A2,11
795,桂林村A3,11
796,桂芦圩21,230
797,桂芦圩22,230
798,桂芦圩23,230
799,桂芦圩24,230
800,桂芦圩11,115
801,桂芦圩D1,115
802,桂芦圩D2,115
803,桂芦圩Y1,35
804,桂芦圩Y2,35
805,桂马山21,230
806,桂马山22,230
807,桂马山11,115
808,桂马山D1,115
809,桂马山D2,115
810,桂马山Y1,35
811,桂马山Y2,35
812,桂琴中21,230
813,桂琴中22,230
814,桂琴中11,115
815,桂琴中D1,115
816,桂琴中A1,10.5
817,桂青秀21,230
818,桂青秀22,230
819,桂青秀23,230
820,桂青秀11,115
821,桂青秀12,115
822,桂青秀13,115
823,桂青秀D1,115
824,桂青秀D2,115
825,桂青秀D3,115
826,桂青秀A1,10.5
827,桂青秀A2,10.5
828,桂青秀A3,10.5
829,桂沙田21,230
830,桂沙田22,230
831,桂沙田11,115
832,桂沙田D1,35
833,桂沙田D2,35
834,桂沙田D3,35
835,桂沙田A1,11
836,桂沙田A2,11
837,桂沙田A3,11
838,桂石西21,230
839,桂石西22,230
840,桂石西11,115
841,桂石西12,115
842,桂石西D1,115
843,桂石西D2,115
844,桂石西A1,10.5
845,桂石西A2,10.5
846,桂思恩21,230
847,桂思恩22,230
848,桂思恩11,115
849,桂思恩D1,115
850,桂思恩D2,115
851,桂思恩A1,11
852,桂思恩A2,11
853,桂亭洪22,230
854,桂亭洪11,115
855,桂亭洪D1,115
856,桂亭洪D2,115
857,桂亭洪A1,11
858,桂亭洪A2,11
859,桂屯亮21,230
860,桂屯亮22,230
861,桂屯亮11,115
862,桂屯亮D1,115
863,桂屯亮A1,10.5
864,桂五一21,230
865,桂五一22,230
866,桂五一11,115
867,桂五一D1,115
868,桂五一D2,115
869,桂五一Y1,35
870,桂五一Y2,35
871,桂智城21,230
872,桂智城11,115
873,桂智城D1,115
874,桂智城Y1,35
875,桂五牵21,230
876,桂五牵22,230
877,桂青牵21,230
878,桂青牵22,230
879,桂麦牵21,230
880,桂麦牵22,230
881,桂浪牵21,230
882,桂浪牵22,230
883,桂大牵22,230
884,桂丹牵21,230
885,桂丹牵22,230
886,桂南牵21,230
887,桂南牵22,230
888,桂德保21,230
889,桂德保22,230
890,桂德保11,115
891,桂德保D1,115
892,桂德保A1,10.5
893,桂恩隆21,230
894,桂恩隆22,230
895,桂恩隆23,230
896,桂恩隆11,115
897,桂恩隆D3,115
898,桂恩隆Y3,35
899,桂高旺21,230
900,桂高旺22,230
901,桂高旺11,115
902,桂高旺D1,115
903,桂高旺D2,115
904,桂高旺Y1,35
905,桂高旺Y2,35
906,桂老区21,230
907,桂老区22,230
908,桂老区11,115
909,桂老区D1,115
910,桂老区A1,10.5
911,桂亮湾21,230
912,桂亮湾22,230
913,桂亮湾23,230
914,桂亮湾11,115
915,桂亮湾12,115
916,桂亮湾D1,115
917,桂亮湾D2,115
918,桂亮湾Y1,35
919,桂亮湾Y2,35
920,桂马头21,230
921,桂马头22,230
922,桂马头11,115
923,桂马头D1,35
924,桂马头D2,35
925,桂马头A1,11
926,桂马头A2,11
927,桂茗雅21,230
928,桂茗雅22,230
929,桂茗雅11,115
930,桂茗雅D2,115
931,桂茗雅Y2,35
932,桂那雄22,230
933,桂那雄11,115
934,桂那雄D1,115
935,桂那雄D2,115
936,桂那雄Y1,35
937,桂那雄Y2,35
938,桂念荷21,230
939,桂念荷22,230
940,桂念荷11,115
941,桂念荷D1,115
942,桂念荷D2,115
943,桂念荷Y1,35
944,桂念荷Y2,35
945,桂平铝21,230
946,桂平铝22,230
947,桂平铝D1,35
948,桂平铝Y1,35
949,桂平铝E2,22
950,桂平铝A1,10.5
951,桂沙坡21,230
952,桂沙坡22,230
953,桂沙坡11,115
954,桂沙坡12,115
955,桂沙坡D1,115
956,桂沙坡D2,115
957,桂沙坡D3,115
958,桂沙坡A1,10.5
959,桂沙坡A2,10.5
960,桂沙坡A3,10.5
961,桂松月21,230
962,桂松月22,230
963,桂松月11,115
964,桂松月D1,35
965,桂松月Y1,35
966,桂祥周21,230
967,桂祥周22,230
968,桂祥周23,230
969,桂祥周11,115
970,桂祥周D1,35
971,桂祥周D2,35
972,桂祥周Y1,35
973,桂祥周Y2,35
974,桂云灵21,230
975,桂云灵22,230
976,桂云灵23,230
977,桂云灵11,115
978,桂云灵D1,115
979,桂云灵Y1,35
980,桂振林21,230
981,桂振林22,230
982,桂振林11,115
983,桂振林D2,35
984,桂振林Y2,35
985,桂壮坡21,230
986,桂壮坡22,230
987,桂壮坡23,230
988,桂壮坡11,115
989,桂壮坡D2,115
990,桂壮坡Y2,35
991,桂文福21,230
992,桂文福22,230
993,桂文福11,115
994,桂文福D1,115
995,桂文福D2,115
996,桂文福Y1,35
997,桂文福Y2,35
998,桂华银21,230
999,桂华银22,230
1000,桂银海22,230
1001,桂银海21,230
1002,桂电解21,230
1003,桂电解22,230
1004,桂氧化21,230
1005,桂氧化22,230
1006,桂锦盛21,230
1007,桂锦盛22,230
1008,桂锦盛23,230
1009,桂锦盛Y1,38.5
1010,桂田阳21,230
1011,桂田阳22,230
1012,桂板坚21,230
1013,桂鹅牵21,230
1014,桂鹅牵22,230
1015,桂坎牵21,230
1016,桂坎牵22,230
1017,桂班牵21,230
1018,桂班牵22,230
1019,桂滇牵21,230
1020,桂滇牵22,230
1021,SHANXIU1,115
1022,桂东平21,230
1023,桂东平22,230
1024,桂东平11,115
1025,桂东平D1,115
1026,桂东平D2,115
1027,桂东平Y1,35
1028,桂东平Y2,35
1029,桂富丰22,230
1030,桂富丰D1,35
1031,桂椒乡21,230
1032,桂椒乡22,230
1033,桂椒乡11,115
1034,桂椒乡D1,115
1035,桂椒乡Y1,35
1036,桂金马21,230
1037,桂金马22,230
1038,桂金马11,115
1039,桂金马D1,115
1040,桂金马D2,115
1041,桂金马A1,10.5
1042,桂金马A2,10.5
1043,桂聚龙21,230
1044,桂聚龙22,230
1045,桂聚龙11,115
1046,桂聚龙D1,115
1047,桂聚龙Y1,35
1048,桂渠黎21,230
1049,桂渠黎22,230
1050,桂渠黎11,115
1051,桂渠黎D1,115
1052,桂渠黎A1,10.5
1053,桂上龙21,230
1054,桂上龙22,230
1055,桂上龙23,230
1056,桂上龙11,115
1057,桂上龙D1,115
1058,桂上龙D2,115
1059,桂上龙Y1,35
1060,桂上龙Y2,35
1061,桂桃城21,230
1062,桂桃城22,230
1063,桂桃城23,230
1064,桂桃城11,115
1065,桂桃城D1,115
1066,桂桃城D2,115
1067,桂桃城Y1,35
1068,桂桃城Y2,35
1069,桂下雷21,230
1070,桂下雷22,230
1071,桂下雷11,115
1072,桂下雷D1,115
1073,桂下雷D2,115
1074,桂下雷A1,10.5
1075,桂下雷A2,10.5
1076,桂谊祥21,230
1077,桂谊祥22,230
1078,桂谊祥11,115
1079,桂谊祥D1,115
1080,桂谊祥D2,115
1081,桂谊祥A1,10.5
1082,桂谊祥A2,10.5
1083,桂源江21,230
1084,桂源江22,230
1085,桂源江11,115
1086,桂源江D1,115
1087,桂源江Y1,35
1088,桂润忠22,230
1089,桂润忠Y2,35
1090,桂润忠Y1,35
1091,桂铜业21,230
1092,桂铜业22,230
1093,桂铜业D1,10.5
1094,桂铜业D2,10.5
1095,桂傍浦21,230
1096,桂傍浦22,230
1097,桂傍浦11,115
1098,桂傍浦D1,115
1099,桂傍浦A1,11
1100,桂垌村21,230
1101,桂垌村22,230
1102,桂垌村11,115
1103,桂垌村D1,115
1104,桂垌村A1,11
1105,桂港口21,230
1106,桂港口22,230
1107,桂港口11,115
1108,桂港口D1,115
1109,桂港口D2,115
1110,桂港口A1,10.5
1111,桂港口A2,10.5
1112,桂高沙21,230
1113,桂高沙22,230
1114,桂高沙11,115
1115,桂高沙12,115
1116,桂高沙D1,115
1117,桂高沙D2,115
1118,桂高沙A1,10.5
1119,桂高沙A2,10.5
1120,桂歌标21,230
1121,桂歌标22,230
1122,桂歌标23,230
1123,桂歌标11,115
1124,桂歌标D1,115
1125,桂歌标Y1,35
1126,桂金桂22,230
1127,桂金桂11,115
1128,桂金桂D1,115
1129,桂金桂Y1,35
1130,桂榄坪21,230
1131,桂榄坪22,230
1132,桂榄坪11,115
1133,桂榄坪D1,115
1134,桂榄坪A1,10.5
1135,桂龙湾21,230
1136,桂龙湾22,230
1137,桂龙湾23,230
1138,桂龙湾11,115
1139,桂龙湾D1,35
1140,桂龙湾D2,35
