genName,BusId,pmax,pmin,init_output,init_opration,MinOnTime,MinOffTime,ColdStartTime,ramp_up,ramp_down,startup_times,hot_start,cold_start,min_cost,segments,segment1,segment2,segment3,segment4,segment5,segment6,segment7,segment8,segment9,segment10,segment11,cost1,cost2,cost3,cost4,cost5,cost6,cost7,cost8,cost9,cost10,zone,Pstart,Pshut
37,6,30,5,0,-11,1,1,0,30,30,-,649.1,1298.2,343.73025,4,5,11.25,17.5,23.75,30,,,,,,,15.0271625,15.1172875,15.2074125,15.2975375,,,,,,,-,30,30
38,4,30,5,0,-15,1,1,0,30,30,-,664.3,1328.6,347.76075,4,5,11.25,17.5,23.75,30,,,,,,,16.5019875,16.5573625,16.6127375,16.6681125,,,,,,,-,30,30
39,27,30,8,0,-17,1,1,0,30,30,-,652.6,1305.2,404.86224,4,8,13.5,19,24.5,30,,,,,,,15.354815,15.403325,15.451835,15.500345,,,,,,,-,30,30
40,19,30,5,0,-16,1,1,0,30,30,-,697,1394,488.69575,4,5,11.25,17.5,23.75,30,,,,,,,19.8272375,19.9251125,20.0229875,20.1208625,,,,,,,-,30,30
41,8,30,5,0,-12,1,1,0,30,30,-,695.2,1390.4,521.7345,4,5,11.25,17.5,23.75,30,,,,,,,19.607425,19.674675,19.741925,19.809175,,,,,,,-,30,30
42,31,30,8,0,-23,1,1,0,30,30,-,696.5,1393,610.79328,4,8,13.5,19,24.5,30,,,,,,,19.849305,19.951275,20.053245,20.155215,,,,,,,-,30,30
43,15,30,10,0,-14,1,1,0,30,30,-,697.5,1395,520.148,4,10,15,20,25,30,,,,,,,19.912,19.9768,20.0416,20.1064,,,,,,,-,30,30
44,85,30,10,0,-15,1,1,0,30,30,-,661.4,1322.8,496.641,4,10,15,20,25,30,,,,,,,16.32525,16.39935,16.47345,16.54755,,,,,,,-,30,30
45,34,30,8,0,-20,1,1,0,30,30,-,682.5,1365,476.11184,4,8,13.5,19,24.5,30,,,,,,,18.45554,18.5607,18.66586,18.77102,,,,,,,-,30,30
46,40,30,8,0,-17,1,1,0,30,30,-,609.7,1219.4,536.77648,4,8,13.5,19,24.5,30,,,,,,,11.143505,11.232275,11.321045,11.409815,,,,,,,-,30,30
47,24,30,5,0,-20,1,1,0,30,30,-,663.1,1326.2,567.12625,4,5,11.25,17.5,23.75,30,,,,,,,16.3595625,16.3976875,16.4358125,16.4739375,,,,,,,-,30,30
48,42,30,8,0,-17,1,1,0,30,30,-,658,1316,573.51392,4,8,13.5,19,24.5,30,,,,,,,15.83827,15.85785,15.87743,15.89701,,,,,,,-,30,30
49,72,30,10,0,-21,1,1,0,30,30,-,601.6,1203.2,353.707,4,10,15,20,25,30,,,,,,,10.31175,10.37245,10.43315,10.49385,,,,,,,-,30,30
50,73,30,5,0,-16,1,1,0,30,30,-,690.7,1381.4,478.43075,4,5,11.25,17.5,23.75,30,,,,,,,19.1224875,19.1628625,19.2032375,19.2436125,,,,,,,-,30,30
51,107,20,8,0,-8,1,1,0,20,20,-,434.8,869.6,385.91152,4,8,11,14,17,20,,,,,,,13.64967,13.70325,13.75683,13.81041,,,,,,,-,20,20
52,90,20,8,0,-10,1,1,0,20,20,-,405,810,408.61968,4,8,11,14,17,20,,,,,,,10.53553,10.54675,10.55797,10.56919,,,,,,,-,20,20
53,103,20,8,0,-23,1,1,0,20,20,-,498.8,997.6,458.29856,4,8,11,14,17,20,,,,,,,19.95676,19.981,20.00524,20.02948,,,,,,,-,20,20
54,74,20,5,0,-23,1,1,0,20,20,-,423.1,846.2,329.25225,4,5,8.75,12.5,16.25,20,,,,,,,12.4212375,12.4819125,12.5425875,12.6032625,,,,,,,-,20,20
